COMMENT_ID;AUTHOR;DATE;CONTENT;CLASS
z12yvdxizlrze1osb22xev1xyxakdphe3;Coc Chitthu;26/05/2015 16:45;i remember this song!;0
z13tv3oqtkz0exqhg04cjfgqlyrgipmou20;vuong quang;26/05/2015 14:53;Like?;0
z132xfsy4pz5uvyxh04ce50xez2ki53ysaw;Ryan Ramma;26/05/2015 14:39;Whose who are watching this in 2015.  LIKE!?;0
z13uhhxp5nvig15yc04citszvtagwtmpqcc;Terry Short;26/05/2015 14:33;"Support the fight for your 4th amendment right to privacy in your home.  Stop the NSA spying on Americans with the un Patriot Act Renewal. Rand Paul has spent 10.5 hours on the Senate floor in a Protest and Filibuster fighting for our  Constitution that this Nation is founded on. Join the fight at Rand Paul dot com. Spread The Word. We Have Someone That Cares About Our Nation.  Email your Senators, Congress men and women, tell them to support Rand. Tell the news to support Rand too Senator Rand Paul was up until <a href=""http://www.youtube.com/watch?v=pRpeEdMmmQ0&amp;t=1m00s"">1:00</a> am this passed Saturday morning fighting for our Constitution buy postponing the vote until this week. Our Constitution Matters join Rand in the fight to protect <a href=""http://it.ht"">it.ht</a> to privacy in your home and business.. Senator Rand Paul was up until <a href=""http://www.youtube.com/watch?v=pRpeEdMmmQ0&amp;t=1m00s"">1:00</a> am this passed Saturday  morning fighting for our Constitution buy postponing the vote until this week. Our Constitution Matters To All Of US, Help Rand Protect It by joining the fright for it.?";1
z135ihwjrofccvbzu04cehzp3prte5jyccg;marko kacar;26/05/2015 9:54;best song in world?;0
z12rihewvsi0fxgui23bi31bulqvfj5vk;ovidiu mitricioiu;26/05/2015 8:11;BEAUTIFUL;0
z12wc5uotu3gz1pwd04ce1ly2vjuvxphxuk0k;Agung Handono Susilo;26/05/2015 3:34;Good song:-)?;0
z13lgjaxhnbzuxxmd22iyh24cwqqwpfiz04;Nimesh Nambiar;26/05/2015 3:17;"She&#39;s such an awesome entertainer. And pretty too! &lt;3 Shakira!?";0
z13gv1bxbuytgjl3o23fdr5r3kaadbbm1;???? ????????;25/05/2015 23:42;Check out this video on YouTube:?;1
z13vf1mwauyjgj23q22vtppxjlnihr2ro04;Zcoria Kelly;25/05/2015 22:43;Love this song?;0
z13fsxq5coffdz54p04cjxzppp3ezhhw0u40k;Spider Girl;25/05/2015 21:31;Love this song! My soccer team made a cd for our couch with this song on it!?;0
z12afj2p2pniy1idm23wclt4ox2wujzj004;Ernest Foli;25/05/2015 21:08;fave song?;0
z13ue30j3uywfdivm23zgtzoflv0fhqce;Laura Gray;25/05/2015 19:56;Watching in 2015?;0
z12wuxjqmqjbyjab404cidxofne4ftup35c;Trygve Nilsen;25/05/2015 19:48;I felt old when I realized that this song was 5 years old...?;0
z13iuzxghsypjtfwy04ccnewbqbde3qwea0;?????? ?????????;25/05/2015 18:00;love Shakira!?;0
z13yi50hjzqgitubv04cfhzyby3ystsrh5g;adey lanre;25/05/2015 16:39;One of the best song of all the time?;0
z13udxpqgtnnxt10o232vhgbspnveld0c;bossdon redhouse;25/05/2015 15:53;I really am madly in love with this woman!!?;0
z13ywdzqsnmjhts2v22qzrhpxzn5frizg04;Eidya Pal;25/05/2015 14:43;i totally love this song. absolutely fantastic! i love ya shakira!?;0
z135znoyckynyhfyc04cj1qzturycx24aw40k;Ed Garcon;25/05/2015 14:05;im still watching in 2015?;0
z13uxtggrz25vlgcy225xf5yqweagnrra04;rachel perez;25/05/2015 14:05;the song is sad?;0
z13ijbpyhnvtddsue223c3pgilfjs3pmv;Ibtihal Baho;25/05/2015 11:21;goood?;0
z13cvpcyiqr5xnfmj235exiwvlqre514d04;Viv Varghese;25/05/2015 8:59;The best FIFA world cup song for sure.?;0
z12csjyqqru3tvlcb22hz3vrrn3jzfzyg04;Thiago Andrade;25/05/2015 8:08;Nice vídeo shakira good?;0
z12bfraboyajftgbz04ccbkr3xjxfxyxsew;Abdullah Fawzi;25/05/2015 6:25;"coby this USL and past :<br /><a href=""http://adf.ly"">http://adf.ly</a> /1HmVtX<br />delete space after y?";1
z132svd4fvq1wntfd221w5szfzezjri2r;Abdullah Fawzi;25/05/2015 6:23;"see this<br /><a href=""http://adf.ly"">http://adf.ly</a> /1HmVtX?";1
z13xy3naqwneytjyb04cjdb54luwyjk4alo0k;Nash Alema;25/05/2015 3:09;Waka waka?;0
z12qufrhtzvrzztje04chhmadyu3glopkm00k;Russian soldier sniper;25/05/2015 2:38;she is beautiful but it is not American!?;0
z121ireiytz2f1xzz04cc5fznlnchb1jphg;Toby Bywater;25/05/2015 1:47;Thumbs up if your watching in 2015?;1
z13wgdwwuralul0ki23fuxqxvrbmunwkf;Mohammed Yousef;24/05/2015 22:42;ILOVETHISSONG?;0
z12hsre40qqswblvg22kvlrhgznxul1xu04;JH Simene;24/05/2015 22:24;"Subscribe me please. i&#39;ll promise i&#39;ll sub back?";1
z13uw5rqqwu4ufqli224fvzryy2vwlyk4;MmmHmmm;24/05/2015 20:38;"Lamest World Cup song ever! This time FOR Africa? You mean IN Africa. It wasn&#39;t a Live Aid event or something. She made it seem like a charity case for them instead of a proud moment. Where was Ricky Martin when you needed him! SMH?";0
z13lhxc4yoidt5hdn23jydg5nkuehblxs04;Angelica Figueroa;24/05/2015 20:29;My friend Sam loves this song?????????????????????????????????????????????????????????????????????????????????????????????;0
z12zcxyjxof0ihx4w04cf1gojz3zwnty4ts0k;Syed Akbar Ali;24/05/2015 19:33;Check out this video on YouTube:?;1
z134ufywgmy5yny1223bvdkxvleyjj2ik04;Oreoluwa Ajjayi;24/05/2015 16:05;I love you?;0
z12uvzpw4tufgf2qw04chd5abu3uvf4rw5o;Eric Gonzalez;24/05/2015 15:35;"To help shakira become the first female to hit 1billiom views, I&#39;ve decided to watch this Video at least one a day. Everyday! Shakifans we r so close just hit the replay button !!!?";0
z13zj535dsqgcfyot04cixgics3zdrspsqw0k;????? ??????? ???? ???? ??????? ??????;24/05/2015 14:57;ILove shakira ?;0
z13it35hwti1uf0ea22ju5dxoyqiubdso;Tierra Carbon;24/05/2015 14:21;It was  cool   the best   song ever  ?;0
z133xfvjenv5vfr0o22nhfrawr2ve3gp004;Lala Ella;24/05/2015 14:16;OMG LISTEN TO THIS ITS SOO GOOD!! :D?;0
z13azdiwulmkf5kmr22cwbpq1zrntfxby04;Alexander Solli;24/05/2015 12:32;My uncle said he will stop smoking if this comment gets 500 likes! Please like this comment! Thanks.?;1
z13lih3oztyagltwo04ceh3rezv2hfx5aj4;Arvind Pandey;24/05/2015 11:55;nice song?;0
z12ui12j5ti4dnyaa04cezhbnuuchl05ckc0k;Abdou Abdou;24/05/2015 10:01;waka waka?;0
z12lth44woywehejy04cilgh2lejztjapi0;MOHAMED THASLEEM;24/05/2015 7:03;super music?;0
z13cyndpyk2vefcyo04ce1ib5wrbxjqxuvk0k;Haolin Tan;24/05/2015 3:55;How could 108k people dislike this song or video?;0
z13durqh1sb4iv14q04cep3jenmavh4ajqg0k;Lupitaochoa Dieciseis;24/05/2015 3:02;Love it!!!!!!!!!!!!!!!!???;0
z13rg14qosy3uvqz204cf1eaotyyjbyx1ec;Carmen W;24/05/2015 1:36;I swear Shakira keeps getting more and more gorgeous! She definitely looks more gorgeous with her hair this way than super curly.?;0
z12uu1ni2uqrvzfhf04cflg4ezqmjnfzzu00k;Hamilton44;23/05/2015 22:08;Youtube comments be like<br />This is so 5 years ago. ?;0
z13teltr2ljvx1cgd04cihnpetm1xlwxm3g;Leedl bagginshield;23/05/2015 21:27;it pisses me off a bit that blank space has more views (868 mio) than this. meh ?;0
z12jwtvwcrmks1xbe04ch5nikwnscb4iqr40k;Athena Gomez;23/05/2015 20:45;Your the best???;0
z13zt31xrsrvcxtsz23dgvob4y21t3ppt04;Athena Gomez;23/05/2015 20:44;"I love you  ;p?";0
z12iyf2wkybwerg5104cddairnrzf5vwoog0k;Anastasia Trevla;23/05/2015 18:35;I love  Shakira !!!!!! ??????????;0
z13rgdjjjzmkuhnvf23dd1wxkqzwvjiij04;Jessica Onyekwere;23/05/2015 17:42;This song is special, because is a song for Africa  and I am an African ?;0
z13fyrra1pres5hbj04chzwabkels11pe5c;GamingWith Kim;23/05/2015 17:40;"&lt;3 this song so much.SHAKIRA YOUR A REALLY GOOD ARTIST.?";0
z13cw35rwznvud1jt04cgl4zfpaqxj2z4qg0k;Raphael Lipusch;23/05/2015 17:07;I love shakira<br />?????;0
z13isvpjcwadtnxfa23sdd0ipp20wzxdd;rtfamily;23/05/2015 16:45;"Definitley the song for 2010 when im not listening to gypsy SHAKIRA ROCKS<br /><span class=""proflinkWrapper""><span class=""proflinkPrefix"">+</span><a class=""proflink"" href=""https://plus.google.com/101721377578919894134"" oid=""101721377578919894134"">shakiraVEVO</a></span>?";1
z12wu1hapwjnvdrwe04cdj4ogu31cpjgnbw;KAM IL;23/05/2015 16:06;I remember that torunament like it was today.?;0
z122s1uitnfitv4ru04cet2jquumwz1zsyc0k;Madalynn Miller;23/05/2015 12:51;Thank you. Please give your email. ?;1
z13iefh5fqbhincpi04cfrcaxxzuwfdpgtc0k;ashwini praveena;23/05/2015 12:47;beautiful?;0
z12dsplrsvfauj5ej222hhnyyxzffreei;Karol Martinez Restrepo Martinez;23/05/2015 12:16;Like?;0
z12ps3yhzryuzlg4504cezaxkwrjx3cpkgg;Hidayet Özsoy;23/05/2015 10:46;Shakira you are so beautiful. You are lovely, lively.. We love you.?;0
z13lvdcijuj5znbge04cc1iawv3eezsbbjo;?????? ???????;23/05/2015 10:13;GREAT!!!?;0
z13cgt0yjtnaxfivx23xx1iwgoymxhu5504;Orlando Saeroon;23/05/2015 9:50;Best World Cup Song?;0
z123ydw50qjkfzm5s04cdlzziubxtz0ijfk;redouane najja;23/05/2015 8:57;Fuck it was the best ever 0687119038 nummber of patrik kluivert his son share !?;1
z13bchrxcyruufz4004chdjrzobevxc45ug0k;Manish Ray;23/05/2015 8:55;This song is so beauty;0
z12wwjbpsru3dnrkk22ec1qrjm2fzdmte;Misako Detenamo;23/05/2015 7:27;I heard this when I was only 6 years old and I still love it?;0
z12zfrwpllnfh34pz04ccvurqymehl5jdmo0k;Naseeb Jan;23/05/2015 7:12;nice song?;0
z13zibwb3vaczhraj04cct2hppnuwtbwjq00k;Martis Zelvis;23/05/2015 5:49;waka waka:-):-):-)?;0
z12zujgautikhxpn122mixwjkwavuldmd;alejandro rojas;23/05/2015 3:50;Oh my god go to 1 billion of replay i love shakira?;0
z13aznjg2ojwjlknm23yjbt4uniuepuxs04;Dunrell Pinder;23/05/2015 2:57;i love her?;0
z12ijbn5grjidp3vj23psvhyjvv2djpol04;Angie Vazquez;23/05/2015 2:51;"I love this song &amp;I love shakira&lt;333????????????33????";0
z13wd3dwlrifgl3mj22vcdci0yiaubueb;Hermen De Greef;22/05/2015 21:46;Yea stil the best WK song ever<br />Thumbs up of you think the same<br />?;1
z13psdarpuzbjp1hh04cjfwgzonextlhf1w;bilal bilo;22/05/2015 20:36;I liked<br />?;0
z13qitsgikv1szy2023jzjdg3pike1yw004;twee gekkos;22/05/2015 20:10;I like this song ?;0
z13csdjytri2zxib404cf52g5szadlnbmf0;Robin Turnbull;22/05/2015 18:19;i like it :)?;0
z12xdzogizvptt10e221cxqx2uvsslggp04;Jobs Ho ???;22/05/2015 13:23;Waka waka !!!?;0
z12jdvqjrquct3bdj22yizigauehxj4ew;Lucia Scarlet;22/05/2015 11:56;Amazing song?;0
z13ldttruqm1x1wsz23qcdlq4saefnkew;Wiki Smolinska;22/05/2015 9:47;Cool song ?;0
z13dfprydrvlvl4u323qy515dzzgtzeej;black tiger;22/05/2015 5:23;i love u  shakira?;0
z13oxvzqrzvyit00322jwtjo2tzqylhof04;Octavia W;22/05/2015 2:33;Waka waka ?;0
z13egzvw2peys54lo221i3zxjxucfbski;Elena Macchiaverna;22/05/2015 1:21;this song sucks?;0
z13lgjxz2teyzdxmu23ze3ng1qmjgbsme;The Emerald Minecraft;22/05/2015 0:47;Lol I love this song?;0
z13qel3p2qaoexzhh04cjxniunrpzrtjro40k;Shakira Forever;22/05/2015 0:36;Shakira?;0
z134y1ki5svvwt43i23wz5kqsxmaettuu;AlabaGames;22/05/2015 0:31;Subscribe my channel  I RECORDING FIFA 15 GOALS WATCH NOW :D?;1
z12gsna4hquwjhkfd22udv3gtmjtjr5ta;Tillolo79;21/05/2015 22:54;Wow...5 years<br />?;0
z13chhog1nbldb2xp04cgtkxcx35z1djpf0;Free Video Tv;21/05/2015 21:15;subscribe to me and I wil subscribe to you back?;1
z13cdr2rzsjxxtmjj04cinebunydzthitmk0k;Olda87 CZ;21/05/2015 18:12;You best singer?;0
z12rsvvxiwi0j5hat04ccbjg4kjtihhox5o;??????? ????????;21/05/2015 16:29;5 years soon!?;0
z13fupk5zkfpjhnws04chl4w3zf0dnkrkl40k;Berthe Etale Bengue;21/05/2015 15:34;Like?;0
z121fvtbjuq0endru04cfjfofknoyteh3jk;liliana ciancio;21/05/2015 14:52;Wanderfol is love or miusic?;0
z13wxxjz4ozfcjom122ushyqfru5uxlk5;Diego Donzelli;21/05/2015 14:51;waka waka?;0
z133ibkihkmaj3bfq22rilaxmp2yt54nb;Debora Favacho (Debora Sparkle);21/05/2015 14:08;BEST SONG EVER X3333333333?;0
z13pfdriymyhzlhwu04chlfgtprmdfbitzs0k;???;21/05/2015 12:35;Very pleasant to hear, haha, good.?;0
z123eldrazr3wlyd222zitmg1y2jin1rf04;Mahya Roohi;21/05/2015 8:19;love!!!!?;0
z13tuhvy3vmwxbprk04ci35w5luiwfi4lgk;strong heart;21/05/2015 8:00;wow;0
z12zi5bjouv2tbalt23cvzbymuaayju5d04;Ec Martinez;21/05/2015 2:28;Waka waka eh eh?;0
z12uftdyclu0s1mbc04cffvjlrukxpl5zdg;Napoleon Maldia;21/05/2015 1:53;Cutie girl and beautiful song;0
z13ccr5putughnbke23ui3kg5mjvhzzyh04;Camila Rodrigues;21/05/2015 1:27;Love you shkira?;0
z12muzijetuwf3qgm04ce1nafxvtj535ao40k;Trollsif Stalin;21/05/2015 1:05;I believe that soccer promotes terrorism. Bad choice, Shakira.?;0
z12kchhgyvetifahq04cez1gdnfhfltxvcg;Ayano Hattori;21/05/2015 0:04;I loved this song when I was in my teenage years!?;0
z13gut2zbtidsnbew23sylmaxrfxhrimv;John Wilkie;20/05/2015 19:35;Lip synch is terrible?;0
z12xi1iaory1jvmlu23xfrayazjrv3jlj;Lili?;20/05/2015 17:20;Shakira is different :) She is so happy all the time and she is spending for Africa :)<br />She can dance , sing and she speaks 4 languages?;0
z13fzxyw3q3bupy0w22oc3wrmu2qdtmu4;Lucas Bonini;20/05/2015 17:15;Gusttavo Lima Você não me conhece <br />Check out?;1
z13vuf3jnrncwzree22ac3sils25edx4h04;ibrahim kula;20/05/2015 16:53;Best world cup offical song?;0
z134htyq0xbgvvowg04cehpiox35d5chu1s;THE GAMER OF TOMORROW;20/05/2015 14:56;5 years ago damn ?;0
z12tuvbodnn5ipp3o22mxnarfnnrxbq4z04;Basanagowda Policepatil;20/05/2015 14:47;Very nice;0
z131uprw3qv4w5iou04cjbbgtvjedpoonvs0k;Ruchira Naidu;20/05/2015 14:34;"Help shakira&#39;s waka waka be the first song by a female artist to reach 1 billion views.<br />(dark horse is ahead by roughly 100 million more views, and roar has only 50 million more views)<br /><a href=""https://www.youtube.com/watch?v=pRpeEdMmmQ0"">https://www.youtube.com/watch?v=pRpeEdMmmQ0</a>?";1
z130ilq4jomxx1poy04cjvniyzbqjzrjpqc0k;Play Now;20/05/2015 10:06;like me?;0
z12guhfqxzvgy3sxc04ccblrqxbmvperiqg0k;vimal singhania;20/05/2015 9:48;SHAKIRA SONG WAKA WAKA?;0
z12bf3fptyfkzh44n04cdbxbnyanujcy2u00k;Dara O;20/05/2015 2:39;"So underrated better<br />Than  Katy perry :/ but in not saying Katy is bad but she has no meaning to her songs. Shakira has<br />Meaningful songs these are the songs which bring memories and vibe&#39;s. I will miss it.   <br />   ?";0
z130g5myrnncvnns3225s5jqjkqwi5de2;Samuel Hsu;20/05/2015 2:24;I love this song and expect the World Cup .?;0
z13zwzgpxmihuzumx23mxf2agufctlajp04;Matheus Ribeiro;20/05/2015 1:41;Good times ...?;0
z13qfn5yusqoslnn222dutdw4yqmhzhej;LiveLikeLien x;20/05/2015 0:57;It makes me happy instantly, and makes me forgot everything bad happening!?;0
z12ivloo2snustjpe04cdbf5bknuudrxpdw;LiveLikeLien x;20/05/2015 0:57;Love this song so much! One of my faves! Xxx?;0
z13oc3rzqy2pwxors04cflibxy2zutsakz40k;Kalle Eklund;19/05/2015 23:29;Hi, nice song Shakira! (Sorry for bad Brazilian)?;0
z125trmyqrbaijwhf04cctobjlq4ixy4gz00k;Mohamed Anhari;19/05/2015 23:02;BEST SONG! GO SHAKI :D?;0
z12binsaxx3yiti1322df3pgvmqgurgp104;SmokinBlue;19/05/2015 22:08;THIS IS SHIT AND SOOOOO AUTOTUNED?;0
z12nivexgtecgn3dd233jpupkve4gztnk;Tomke Brate;19/05/2015 20:02;....I stil lisening this :)?;0
z13nshrbexf5xnur204cjvtimtu0xrnwm4o;KILLER SVK;19/05/2015 19:12;sexy shakira?;0
z124dtzgsrbsw1kxh04cgpdjqlv3ghegsms0k;LaiLa Steudle;19/05/2015 19:06;I love you Shakiria!!!!!!?;0
z12uyzyjxtysunbmn235efxoisv3ena4q04;LaiLa Steudle;19/05/2015 19:05;Me and my aunt love this song!!!!!?;0
z12jxbfwpnr2u3g1z23sshzxdobre3x0f;nosa bella;18/05/2015 22:19;I subscribed it<br />?;1
z13rv5wieu2fdnogl04cdl0bdmjuunpwcnk0k;C Williams;18/05/2015 21:51;Check out this playlist on YouTube<br />?;1
z12yhleh5k2lcxtr304chn2gatiwur3xhz40k;Lizle Productions;16/05/2015 11:33;"Top three Shakira songs (my choice) <br /><br />1- Waka Waka (it&#39;s time for Africa)<br /><br />2- Can&#39;t remember to forget you <br /><br />3- Empire<br /><br />Like this comment if u like Shakira ?";1
z122tvoquqzuirdhu04cfbfznza2jt05juk0k;gamila Khalil;14/05/2015 19:02;Check out this video on YouTube:?;1
z13jgncbqw2cwjroj04cfxjisoyrsj2z4kw0k;Nancy Kiragu;12/05/2015 11:48;Check out this playlist on YouTube:Central ?;1
z13ri55z2su3xp2v123ie1ywjn31zj0sl;RezAIIDay;11/05/2015 19:01;"If you could take time &amp; spare a min to read this, then thank you. <br /><br />Im a rapper, if we&#39;re gonna be honest theres thousands maybe even millions<br /><br />of those in the world but not too many with ambition, dedication &amp; passion.<br /><br />I don&#39;t have money for huge YouTube advertisements or incredible music videos<br /><br />so all im left with is comments to expose my music.<br /><br />If you could take a moment and give me a chance ill make you a believer<br /><br />I would love? nothing more than a loyal following on YouTube. For anyone who <br /><br />Reads this could you press the &quot;THUMBS UP&quot;  others will see it.<br /><br />Doing so will help me push closer to my dream :) Thank You?";1
z13dhjwwakylwb1ed23vd1mpsmnju5n0o;GALAXIAN HD;09/05/2015 16:51;please visit my channel?;1
z13lwva51nepgdxi404ceffbmqnfgje410c;???? ?????????;09/05/2015 0:09;Pleas subscribe my channel GamezZMTA?;1
z13axdfy2v21eltyr04cib5jvzz3etij0g0;GamezZ MTA;09/05/2015 0:08;Pleas subscribe my channel?;1
z12rvnaqcprqe1jmt23fynpy0ziidrrzg04;joory amora;09/05/2015 0:07;Pleas subscribe GamezZ MTA my channel<br />?;1
z12nsvmo4yrifjeg504cfdvrhm2vt5p4wfg;Simon Morales;08/05/2015 20:28;"cool song check out my animal trafficking petition.<br /><a href=""http://www.thepetitionsite.com/387/433/550/stop-animal-trafficking/?cid=headerClick"">http://www.thepetitionsite.com/387/433/550/stop-animal-trafficking/?cid=headerClick</a>?";1
z13oxjdhkxzqyti1123rvxox2om4fpqqt04;Felipe Browne;08/05/2015 1:52;Check out this video on YouTube: ?;1
z12ohx343rfzs3nmz22rfnzbkqvqtnxwt04;CliP ArT shoW;06/05/2015 7:40;Subscribe and Win a CAP<br />       ??????;1
z13tgdxgmputf1xfk22jjzhqgpi4v3xo104;Pauline Martinez;06/05/2015 3:21;Check out this playlist on YouTube:?;1
z13zhngyrsyeffkvf22cjvtofreiub1lp;Hawa Bah;03/05/2015 17:20;Hey guys love this but check out this girl name cause she knows how to dance so search up ej ba dancing.?;1
z131i1xypyunynkci22ijfxr2tuaf1nav04;Si Ham;30/04/2015 7:59;"if you want to win money at hopme click here <a href=""https://www.paidverts.com/ref/sihaam01"">https://www.paidverts.com/ref/sihaam01</a> it&#39;s work 100/100?";1
z13asbvq1n2ttvptn23vd1mpsmnju5n0o;GALAXIAN HD;26/04/2015 17:36;i am from Brazil please subscribe my channel love you all?;1
z13szlz5sp2zw3fxc04cc3nbhlmjxnphivg0k;Robloxia Asap;25/04/2015 19:54;"Could Spanish people understand this?<br /><br />Any way&#39;s I how you doing subscribe to me I brake things<br /><br />-_-?";1
z133vdcgmrijgrhld22zst0i2nfnvdvxa04;How To;25/04/2015 6:38;PLEASSSSSSSSSSSSSSSS SUBSCRIBEEEEEEEEEE MY CHANNNNNNELLL PLZZ?;1
z13twxvoxwz1f11pk04cij1b0zi1ifbhdno0k;mariam shoja;23/04/2015 10:14;Check out this video on YouTube:?;1
z134zb2xvybxwt54s04cexswtliatpbqxjs;Marius Dima;23/04/2015 9:27;"New way to make money easily and spending 20 minutes daily --&gt; <a href=""https://www.paidverts.com/ref/Marius1533"">https://www.paidverts.com/ref/Marius1533</a>?";1
z12gj5gi4leawfcni225jty5wzvecj53m;Jet Lee;23/04/2015 8:08;There are beautiful songs please subscribe?;1
z13eupqxoyr2jf4xm04cetijyrjezfxovgw;500 Subscribers with no videos?;22/04/2015 17:36;Can this channel get 500+ subscribers? You can make that happen :D?;1
_2viQ_Qnc6_pJLNSe-ysm1Q4pDNKWrl6EWw0cSIBV14;Ali Reza Nipu;05/11/2013 6:23;I really love watching football and also I’ve started off making income with out financial risk from acquiring bonus deals. It’s this weird technique where you wager on something with one bookmakers and bet against it on Betfair. You secure the bonus as income . A chap named Jim Vanstone is finding the wagers free on his own website Vanstone Secrets (Google it!). I’ve made about 500 quid thus far. And it is cost-free. I guess the bookies pay him to obtain new consumers, yet this actually works.;1
_2viQ_Qnc6_-PxFkTE_Kx-BN9mjiueYqg5wrx_hMGb4;angela pollman;04/11/2013 1:38;and how many subscribers compared to her over a million;1
_2viQ_Qnc6_ZYkMn1fS805Z6oy8ImeO6pSjMLAlwYfM;mile panika;03/11/2013 14:39;I absolutely adore watching football plus I’ve started earning income with out risk from claiming bonus deals. It’s a weird technique where you put money on something with one bookmakers and put money against it on Betfair. You acquire the bonus as income . A lad named Jim Vanstone is selecting the wagers free on his website Vanstone Secrets (Google it!). I have generated about 600 quid so far. And it’s free. I assume the bookmakers pay him to get new men and women, but it succeeds.;1
_2viQ_Qnc6_NsO9XDTWC1TlbTRevVI-QGIqkXxuyl60;AllDailyVines;03/11/2013 12:11;hahahahah ???? :D like vines ?  Subscribe to me for daily vines;1
_2viQ_Qnc6_J91n3DVA-4R9BjK8WFHtrJvrEn31ogGU;prem kumar;03/11/2013 11:15;Hi there, have you heard about DribbleProShot? Just do a search on Google. On their web site you can watch a smart free video featuring the best way to significantly boost your football aka soccer skills in no time... It turned Nick into a much better football or soccer player...His team mates were definitily amazed! I hope it will help you also...;1
